Date,Close
2014-01-02,64.3
2014-01-03,64.18
2014-01-06,64.14
2014-01-07,64.2
2014-01-08,63.54
2014-01-09,65.02
2014-01-10,65.08
2014-01-13,64.69
2014-01-14,64.85
2014-01-15,64.78
2014-01-16,64.98
2014-01-17,64.7
2014-01-21,64.74
2014-01-22,64.01
2014-01-23,63.44
2014-01-24,62.39
2014-01-27,62.11
2014-01-28,62.87
2014-01-29,61.59
2014-01-30,61.49
2014-01-31,61.23
2014-02-03,60.17
2014-02-04,60.35
2014-02-05,60.42
2014-02-06,60.6
2014-02-07,60.86
2014-02-10,61.52
2014-02-11,62.4
2014-02-12,61.92
2014-02-13,62.31
2014-02-14,62.68
2014-02-18,62.39
2014-02-19,61.53
2014-02-20,61.86
2014-02-21,61.56
2014-02-24,61.95
2014-02-25,62.07
2014-02-26,61.95
2014-02-27,62.12
2014-02-28,62.83
2014-03-03,62.22
2014-03-04,63.01
2014-03-05,62.62
2014-03-06,63.02
2014-03-07,63.13
2014-03-10,63.05
2014-03-11,63.29
2014-03-12,63.22
2014-03-13,63.23
2014-03-14,63.83
2014-03-17,64.4
2014-03-18,64.34
2014-03-19,63.39
2014-03-20,63.59
2014-03-21,63.46
2014-03-24,63.31
2014-03-25,63.77
2014-03-26,64.27
2014-03-27,64.06
2014-03-28,64.1
2014-03-31,64.87
2014-04-01,64.22
2014-04-02,64.3
2014-04-03,64.28
2014-04-04,64.22
2014-04-07,64.92
2014-04-08,65.63
2014-04-09,65.73
2014-04-10,65.94
2014-04-11,65.31
2014-04-14,65.86
2014-04-15,66.37
2014-04-16,67.18
2014-04-17,66.94
2014-04-21,66.84
2014-04-22,66.36
2014-04-23,65.87
2014-04-24,66.43
2014-04-25,66.24
2014-04-28,67.86
2014-04-29,67.04
2014-04-30,67.3
2014-05-01,67.01
2014-05-02,67.1
2014-05-05,66.9
2014-05-06,66.71
2014-05-07,67.23
2014-05-08,67.1
2014-05-09,67.65
2014-05-12,67.19
2014-05-13,67.26
2014-05-14,66.96
2014-05-15,66.41
2014-05-16,66.92
2014-05-19,66.73
2014-05-20,66.56
2014-05-21,66.81
2014-05-22,66.61
2014-05-23,66.73
2014-05-27,66.71
2014-05-28,66.12
2014-05-29,66.92
2014-05-30,68.4
2014-06-02,68.21
2014-06-03,67.24
2014-06-04,67.71
2014-06-05,67.96
2014-06-06,68.02
2014-06-09,68.44
2014-06-10,68.69
2014-06-11,68.62
2014-06-12,67.84
2014-06-13,67.86
2014-06-16,68.09
2014-06-17,67.89
2014-06-18,68.73
2014-06-19,69.43
2014-06-20,68.38
2014-06-23,67.83
2014-06-24,67.95
2014-06-25,67.95
2014-06-26,67.9
2014-06-27,68.43
2014-06-30,68.18
2014-07-01,68.48
2014-07-02,68.47
2014-07-03,68.82
2014-07-07,68.86
2014-07-08,69.5
2014-07-09,69.65
2014-07-10,69.42
2014-07-11,69.52
2014-07-14,69.79
2014-07-15,69.66
2014-07-16,69.45
2014-07-17,68.6
2014-07-18,68.9
2014-07-21,68.76
2014-07-22,68.59
2014-07-23,68.17
2014-07-24,68.11
2014-07-25,67.59
2014-07-28,67.33
2014-07-29,66.36
2014-07-30,66.11
2014-07-31,63.4
2014-08-01,63.95
2014-08-04,63.76
2014-08-05,63.77
2014-08-06,64.8
2014-08-07,64.45
2014-08-08,65.18
2014-08-11,65.06
2014-08-12,64.42
2014-08-13,64.38
2014-08-14,64.21
2014-08-15,64.13
2014-08-18,64.62
2014-08-19,64.26
2014-08-20,64.67
2014-08-21,64.81
2014-08-22,64.57
2014-08-25,64.87
2014-08-26,64.79
2014-08-27,64.83
2014-08-28,64.51
2014-08-29,64.73
2014-09-02,64.42
2014-09-03,64.42
2014-09-04,64.31
2014-09-05,64.86
2014-09-08,63.64
2014-09-09,63.43
2014-09-10,64
2014-09-11,64.42
2014-09-12,64.48
2014-09-15,64.51
2014-09-16,65.14
2014-09-17,65.24
2014-09-18,65.31
2014-09-19,65.28
2014-09-22,65.69
2014-09-23,65.4
2014-09-24,66.23
2014-09-25,65.48
2014-09-26,65.7
2014-09-29,65.63
2014-09-30,65.22
2014-10-01,64.89
2014-10-02,64.78
2014-10-03,65.46
2014-10-06,65.27
2014-10-07,64.9
2014-10-08,65.82
2014-10-09,65.2
2014-10-10,65.29
2014-10-13,64.19
2014-10-14,64.41
2014-10-15,63.53
2014-10-16,63.11
2014-10-17,63.73
2014-10-20,64.54
2014-10-21,65.42
2014-10-22,65.32
2014-10-23,65.05
2014-10-24,65.35
2014-10-27,66.11
2014-10-28,65.79
2014-10-29,65.85
2014-10-30,66.41
2014-10-31,66.88
2014-11-03,67.41
2014-11-04,68.05
2014-11-05,68.15
2014-11-06,68.11
2014-11-07,68.05
2014-11-10,68.55
2014-11-11,68.47
2014-11-12,68.7
2014-11-13,68.29
2014-11-14,67.56
2014-11-17,67.92
2014-11-18,67.97
2014-11-19,68.29
2014-11-20,68.06
2014-11-21,68.34
2014-11-24,67.95
2014-11-25,68.33
2014-11-26,68.69
2014-11-28,69.59
2014-12-01,69.4
2014-12-02,69.86
2014-12-03,69.06
2014-12-04,69.45
2014-12-05,69.37
2014-12-08,69.44
2014-12-09,69.33
2014-12-10,68.87
2014-12-11,69.28
2014-12-12,68.57
2014-12-15,67.95
2014-12-16,67.51
2014-12-17,68.66
2014-12-18,69.48
2014-12-19,69.98
2014-12-22,70.26
2014-12-23,71
2014-12-24,70.47
2014-12-26,70.88
2014-12-29,70.48
2014-12-30,70.04
2014-12-31,69.19
2015-01-02,69.04
2015-01-05,68.53
2015-01-06,67.81
2015-01-07,68.35
2015-01-08,69.28
2015-01-09,68.6
2015-01-12,68.26
2015-01-13,68.73
2015-01-14,68.45
2015-01-15,68.32
2015-01-16,69.17
2015-01-20,68.96
2015-01-21,68.35
2015-01-22,69.32
2015-01-23,67.14
2015-01-26,66.29
2015-01-27,65.66
2015-01-28,65.12
2015-01-29,69.03
2015-01-30,67.52
2015-02-02,68.99
2015-02-03,69.19
2015-02-04,69.2
2015-02-05,69.79
2015-02-06,69.3
2015-02-09,69.07
2015-02-10,69.44
2015-02-11,69.47
2015-02-12,69.85
2015-02-13,70.08
2015-02-17,70.19
2015-02-18,70.54
2015-02-19,70.21
2015-02-20,70.24
2015-02-23,70.68
2015-02-24,71.01
2015-02-25,71.01
2015-02-26,71.11
2015-02-27,70.82
2015-03-02,71.01
2015-03-03,70.68
2015-03-04,70.68
2015-03-05,71.46
2015-03-06,69.25
2015-03-09,69.59
2015-03-10,68.4
2015-03-11,67.89
2015-03-12,68.53
2015-03-13,68.46
2015-03-16,69.02
2015-03-17,68.41
2015-03-18,68.33
2015-03-19,68.29
2015-03-20,69.56
2015-03-23,70.17
2015-03-24,69.31
2015-03-25,68.89
2015-03-26,68.74
2015-03-27,68.75
2015-03-30,69.29
2015-03-31,69.34
2015-04-01,69.09
2015-04-02,69.33
2015-04-06,69.95
2015-04-07,69.71
2015-04-08,69.9
2015-04-09,69.96
2015-04-10,69.61
2015-04-13,69.31
2015-04-14,69.63
2015-04-15,69.88
2015-04-16,70.08
2015-04-17,69.28
2015-04-20,68.46
2015-04-21,69.01
2015-04-22,69.28
2015-04-23,69.22
2015-04-24,69.17
2015-04-27,68.98
2015-04-28,68.77
2015-04-29,68.51
2015-04-30,67.28
2015-05-01,67.68
2015-05-04,67.86
2015-05-05,67.38
2015-05-06,67.79
2015-05-07,67.88
2015-05-08,68.2
2015-05-11,67.83
2015-05-12,67.88
2015-05-13,67.6
2015-05-14,68.63
2015-05-15,68.63
2015-05-18,68.61
2015-05-19,69.14
2015-05-20,68.89
2015-05-21,68.82
2015-05-22,68.5
2015-05-26,67.15
2015-05-27,67.54
2015-05-28,67.33
2015-05-29,66.79
2015-06-01,66.9
2015-06-02,66.73
2015-06-03,66.57
2015-06-04,65.92
2015-06-05,65.48
2015-06-08,65.34
2015-06-09,66.03
2015-06-10,67.07
2015-06-11,66.55
2015-06-12,66.29
2015-06-15,65.34
2015-06-16,65.98
2015-06-17,66.41
2015-06-18,67.17
2015-06-19,66.9
2015-06-22,67.24
2015-06-23,67.01
2015-06-24,66.49
2015-06-25,66.46
2015-06-26,66.5
2015-06-29,65.4
2015-06-30,65.41
2015-07-01,66.16
2015-07-02,66.16
2015-07-06,65.96
2015-07-07,67.31
2015-07-08,66.45
2015-07-09,66.17
2015-07-10,66.64
2015-07-13,67.44
2015-07-14,67.27
2015-07-15,66.91
2015-07-16,67.62
2015-07-17,67.5
2015-07-20,67.8
2015-07-21,66.94
2015-07-22,67
2015-07-23,67.04
2015-07-24,67
2015-07-27,67.3
2015-07-28,68.39
2015-07-29,68.93
2015-07-30,68.02
2015-07-31,68.02
2015-08-03,68.42
2015-08-04,68.45
2015-08-05,69.08
2015-08-06,68.65
2015-08-07,68.49
2015-08-10,68.74
2015-08-11,68.26
2015-08-12,68
2015-08-13,67.66
2015-08-14,67.79
