Date,Close
2014-01-02,138.13
2014-01-03,138.45
2014-01-06,137.63
2014-01-07,137.65
2014-01-08,136.63
2014-01-09,136.45
2014-01-10,136.18
2014-01-13,134.68
2014-01-14,137.41
2014-01-15,138.44
2014-01-16,138.16
2014-01-17,137.31
2014-01-21,136.99
2014-01-22,136.48
2014-01-23,134.71
2014-01-24,130.22
2014-01-27,128.96
2014-01-28,129.81
2014-01-29,130.25
2014-01-30,128.05
2014-01-31,128.19
2014-02-03,123.9
2014-02-04,126.72
2014-02-05,127.36
2014-02-06,128.9
2014-02-07,130.33
2014-02-10,129.7
2014-02-11,130.98
2014-02-12,130.44
2014-02-13,130.14
2014-02-14,132.12
2014-02-18,131.8
2014-02-19,130.56
2014-02-20,131.56
2014-02-21,131.57
2014-02-24,132.2
2014-02-25,132.93
2014-02-26,132.86
2014-02-27,134.34
2014-02-28,134.73
2014-03-03,132.21
2014-03-04,132.68
2014-03-05,133.85
2014-03-06,134.08
2014-03-07,134.11
2014-03-10,133.56
2014-03-11,132.51
2014-03-12,132.57
2014-03-13,130.81
2014-03-14,129.83
2014-03-17,132.27
2014-03-18,132.74
2014-03-19,131.23
2014-03-20,132.43
2014-03-21,133.12
2014-03-24,132.42
2014-03-25,134.06
2014-03-26,133.09
2014-03-27,132.84
2014-03-28,134.2
2014-03-31,135.66
2014-04-01,136.53
2014-04-02,136
2014-04-03,136.14
2014-04-04,135.86
2014-04-07,134.4
2014-04-08,134.84
2014-04-09,135.84
2014-04-10,133.97
2014-04-11,132.39
2014-04-14,133.15
2014-04-15,134.09
2014-04-16,136.77
2014-04-17,137.73
2014-04-21,138.62
2014-04-22,138.89
2014-04-23,137.99
2014-04-24,136.65
2014-04-25,136.56
2014-04-28,137.23
2014-04-29,137.55
2014-04-30,139.09
2014-05-01,140.81
2014-05-02,140.12
2014-05-05,140.61
2014-05-06,139.29
2014-05-07,141.14
2014-05-08,140.83
2014-05-09,141.34
2014-05-12,142.82
2014-05-13,142.43
2014-05-14,141.6
2014-05-15,140.98
2014-05-16,141.13
2014-05-19,141.67
2014-05-20,140.23
2014-05-21,140.66
2014-05-22,140.31
2014-05-23,141.14
2014-05-27,141.44
2014-05-28,141.43
2014-05-29,142.39
2014-05-30,142.55
2014-06-02,142.32
2014-06-03,142.89
2014-06-04,142.26
2014-06-05,143.71
2014-06-06,144.64
2014-06-09,145.32
2014-06-10,144.97
2014-06-11,144.41
2014-06-12,143.07
2014-06-13,143.36
2014-06-16,143.32
2014-06-17,143.69
2014-06-18,144.33
2014-06-19,144.49
2014-06-20,145.16
2014-06-23,144.09
2014-06-24,143.09
2014-06-25,143.65
2014-06-26,143.73
2014-06-27,143.69
2014-06-30,143.24
2014-07-01,144.56
2014-07-02,145.23
2014-07-03,145.41
2014-07-07,144.91
2014-07-08,144.56
2014-07-09,144.68
2014-07-10,143.89
2014-07-11,144.31
2014-07-14,145
2014-07-15,145.06
2014-07-16,146.17
2014-07-17,143.54
2014-07-18,144.83
2014-07-21,144.3
2014-07-22,145.12
2014-07-23,144.68
2014-07-24,145.13
2014-07-25,145.12
2014-07-28,145.53
2014-07-29,144.02
2014-07-30,143.74
2014-07-31,140.89
2014-08-01,140.11
2014-08-04,140.75
2014-08-05,139.78
2014-08-06,139.55
2014-08-07,139.13
2014-08-08,140.85
2014-08-11,140.58
2014-08-12,140.88
